STN,YYYYMMDD,TN
283,20131114,   29
283,20131115,    8
283,20131116,   22
283,20131117,   32
283,20131118,   36
283,20131119,   18
283,20131120,  -16
283,20131121,    7
283,20131122,   17
283,20131123,  -14
283,20131124,  -12
283,20131125,  -39
283,20131126,  -18
283,20131127,   28
283,20131128,   65
283,20131129,   35
283,20131130,   36
283,20131201,   37
283,20131202,    3
283,20131203,  -23
283,20131204,    1
283,20131205,    9
283,20131206,    5
283,20131207,   14
283,20131208,   44
283,20131209,   78
283,20131210,   -3
283,20131211,  -24
283,20131212,    2
283,20131213,   -4
283,20131214,    2
283,20131215,   52
283,20131216,   63
283,20131217,   45
283,20131218,   41
283,20131219,   21
283,20131220,   21
283,20131221,   52
283,20131222,   58
283,20131223,   43
283,20131224,   70
283,20131225,   20
283,20131226,   23
283,20131227,   25
283,20131228,   49
283,20131229,   21
283,20131230,   13
283,20131231,   33
283,20140101,   43
283,20140102,   54
283,20140103,   40
283,20140104,   55
283,20140105,   38
283,20140106,   47
283,20140107,   88
283,20140108,   54
283,20140109,   58
283,20140110,   32
283,20140111,   13
283,20140112,   -8
283,20140113,    0
283,20140114,   10
283,20140115,   17
283,20140116,   52
283,20140117,   62
283,20140118,   39
283,20140119,   27
283,20140120,    4
283,20140121,    4
283,20140122,   -2
283,20140123,  -13
283,20140124,   -1
283,20140125,   -5
283,20140126,   22
283,20140127,   20
283,20140128,   10
283,20140129,  -25
283,20140130,  -28
283,20140131,  -27
283,20140201,   49
283,20140202,   17
283,20140203,   -8
283,20140204,   13
283,20140205,   24
283,20140206,   59
283,20140207,   39
283,20140208,   36
283,20140209,   32
283,20140210,   23
283,20140211,   21
283,20140212,   23
283,20140213,   22
283,20140214,   14
283,20140215,   54
283,20140216,   10
283,20140217,   13
283,20140218,   28
283,20140219,   56
283,20140220,   63
283,20140221,   36
283,20140222,   28
283,20140223,   25
283,20140224,   20
283,20140225,   58
283,20140226,   26
283,20140227,   15
283,20140228,   27
283,20140301,   26
283,20140302,   26
283,20140303,   11
283,20140304,   -8
283,20140305,   -4
283,20140306,  -14
283,20140307,   38
283,20140308,   -2
283,20140309,   39
283,20140310,   14
283,20140311,   52
283,20140312,   23
283,20140313,  -21
283,20140314,  -17
283,20140315,   77
283,20140316,   85
283,20140317,   68
283,20140318,   69
283,20140319,   81
283,20140320,   64
283,20140321,   28
283,20140322,   26
283,20140323,   -3
283,20140324,  -15
283,20140325,  -34
283,20140326,  -18
283,20140327,   25
283,20140328,   39
283,20140329,   28
283,20140330,   35
283,20140331,   57
283,20140401,   60
283,20140402,   33
283,20140403,   70
283,20140404,  108
283,20140405,   57
283,20140406,   64
283,20140407,  126
283,20140408,   37
283,20140409,   38
283,20140410,   68
