"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","WATERABST","TOT","MLN_M3","A","1977",10900,
"AUS","WATERABST","TOT","MLN_M3","A","1985",14600,
"AUS","WATERABST","TOT","MLN_M3","A","1994",15055,
"AUS","WATERABST","TOT","MLN_M3","A","1995",24071,
"AUS","WATERABST","TOT","MLN_M3","A","1997",24071,
"AUS","WATERABST","TOT","MLN_M3","A","2001",22196,
"AUS","WATERABST","TOT","MLN_M3","A","2005",13280,
"AUS","WATERABST","TOT","MLN_M3","A","2009",14613,
"AUS","WATERABST","TOT","MLN_M3","A","2010",13842,
"AUS","WATERABST","TOT","MLN_M3","A","2011",13702,
"AUS","WATERABST","TOT","MLN_M3","A","2012",16351,
"AUS","WATERABST","TOT","MLN_M3","A","2013",20133,
"AUS","WATERABST","TOT","MLN_M3","A","2014",19364,
"AUS","WATERABST","TOT","MLN_M3","A","2015",18222,
"AUS","WATERABST","TOT","MLN_M3","A","2016",16813.717,
"AUS","WATERABST","TOT","M3CAP","A","1977",770.2056,
"AUS","WATERABST","TOT","M3CAP","A","1985",928.1838,
"AUS","WATERABST","TOT","M3CAP","A","1994",841.8734,
"AUS","WATERABST","TOT","M3CAP","A","1995",1331.601,
"AUS","WATERABST","TOT","M3CAP","A","1997",1303.419,
"AUS","WATERABST","TOT","M3CAP","A","2001",1151.93,
"AUS","WATERABST","TOT","M3CAP","A","2005",656.162,
"AUS","WATERABST","TOT","M3CAP","A","2009",672.2008,
"AUS","WATERABST","TOT","M3CAP","A","2010",625.7667,
"AUS","WATERABST","TOT","M3CAP","A","2011",609.525,
"AUS","WATERABST","TOT","M3CAP","A","2012",716.4625,
"AUS","WATERABST","TOT","M3CAP","A","2013",869.6487,
"AUS","WATERABST","TOT","M3CAP","A","2014",824.8892,
"AUS","WATERABST","TOT","M3CAP","A","2015",765.6445,
"AUS","WATERABST","TOT","M3CAP","A","2016",696.9172,
"AUT","WATERABST","TOT","MLN_M3","A","1975",2620,
"AUT","WATERABST","TOT","MLN_M3","A","1980",3341.94006,
"AUT","WATERABST","TOT","MLN_M3","A","1985",3579.80005,
"AUT","WATERABST","TOT","MLN_M3","A","1990",3806.69128,
"AUT","WATERABST","TOT","MLN_M3","A","1995",3449.42639,
"AUT","WATERABST","TOT","M3CAP","A","1975",343.0357,
"AUT","WATERABST","TOT","M3CAP","A","1980",439.1654,
"AUT","WATERABST","TOT","M3CAP","A","1985",470.1066,
"AUT","WATERABST","TOT","M3CAP","A","1990",492.8426,
"AUT","WATERABST","TOT","M3CAP","A","1995",431.7114,
"BEL","WATERABST","TOT","MLN_M3","A","1970",9481,
"BEL","WATERABST","TOT","MLN_M3","A","1995",8247.7998,
"BEL","WATERABST","TOT","MLN_M3","A","1996",7551.51013,
"BEL","WATERABST","TOT","MLN_M3","A","1997",7689.6701,
"BEL","WATERABST","TOT","MLN_M3","A","1998",7479.76001,
"BEL","WATERABST","TOT","MLN_M3","A","1999",7211.73999,
"BEL","WATERABST","TOT","MLN_M3","A","2000",7536.23169,
"BEL","WATERABST","TOT","MLN_M3","A","2001",6994.98248,
"BEL","WATERABST","TOT","MLN_M3","A","2002",6738.40363,
"BEL","WATERABST","TOT","MLN_M3","A","2003",6665.93506,
"BEL","WATERABST","TOT","MLN_M3","A","2004",6447.07666,
"BEL","WATERABST","TOT","MLN_M3","A","2005",6185.43994,
"BEL","WATERABST","TOT","MLN_M3","A","2006",6429.08252,
"BEL","WATERABST","TOT","MLN_M3","A","2007",6192.0249,
"BEL","WATERABST","TOT","MLN_M3","A","2008",6136.04,
"BEL","WATERABST","TOT","MLN_M3","A","2009",6005.4,
"BEL","WATERABST","TOT","MLN_M3","A","2010",5988.37988,
"BEL","WATERABST","TOT","MLN_M3","A","2011",5296.6001,
"BEL","WATERABST","TOT","MLN_M3","A","2012",5300.56006,
"BEL","WATERABST","TOT","MLN_M3","A","2013",4829.04004,
"BEL","WATERABST","TOT","M3CAP","A","1970",984.3047,
"BEL","WATERABST","TOT","M3CAP","A","1995",809.695,
"BEL","WATERABST","TOT","M3CAP","A","1996",739.744,
"BEL","WATERABST","TOT","M3CAP","A","1997",752.1351,
"BEL","WATERABST","TOT","M3CAP","A","1998",730.6381,
"BEL","WATERABST","TOT","M3CAP","A","1999",703.2303,
"BEL","WATERABST","TOT","M3CAP","A","2000",732.9515,
"BEL","WATERABST","TOT","M3CAP","A","2001",677.8729,
"BEL","WATERABST","TOT","M3CAP","A","2002",650.1185,
"BEL","WATERABST","TOT","M3CAP","A","2003",639.7845,
"BEL","WATERABST","TOT","M3CAP","A","2004",615.1722,
"BEL","WATERABST","TOT","M3CAP","A","2005",586.4708,
"BEL","WATERABST","TOT","M3CAP","A","2006",605.3997,
"BEL","WATERABST","TOT","M3CAP","A","2007",578.811,
"BEL","WATERABST","TOT","M3CAP","A","2008",569.2496,
"BEL","WATERABST","TOT","M3CAP","A","2009",552.9686,
"BEL","WATERABST","TOT","M3CAP","A","2010",547.447,
"BEL","WATERABST","TOT","M3CAP","A","2011",480.9371,
"BEL","WATERABST","TOT","M3CAP","A","2012",478.2367,
"BEL","WATERABST","TOT","M3CAP","A","2013",433.0391,
"CAN","WATERABST","TOT","MLN_M3","A","1972",24057,"E"
"CAN","WATERABST","TOT","MLN_M3","A","1981",37508,"E"
"CAN","WATERABST","TOT","MLN_M3","A","1986",42342,"E"
"CAN","WATERABST","TOT","MLN_M3","A","1989",43888,"E"
"CAN","WATERABST","TOT","MLN_M3","A","1991",45090,"E"
"CAN","WATERABST","TOT","MLN_M3","A","1995",47250,"E"
"CAN","WATERABST","TOT","MLN_M3","A","1996",42214,"E"
"CAN","WATERABST","TOT","MLN_M3","A","2005",40026.2,
"CAN","WATERABST","TOT","MLN_M3","A","2007",39453.8,
"CAN","WATERABST","TOT","MLN_M3","A","2009",31513.2,
"CAN","WATERABST","TOT","MLN_M3","A","2011",33335.5,
"CAN","WATERABST","TOT","MLN_M3","A","2013",35850.3,
"CAN","WATERABST","TOT","M3CAP","A","1972",1085.791,
"CAN","WATERABST","TOT","M3CAP","A","1981",1512.96,
"CAN","WATERABST","TOT","M3CAP","A","1986",1615.609,
"CAN","WATERABST","TOT","M3CAP","A","1989",1606.08,
"CAN","WATERABST","TOT","M3CAP","A","1991",1607.796,
"CAN","WATERABST","TOT","M3CAP","A","1995",1610.975,
"CAN","WATERABST","TOT","M3CAP","A","1996",1425.083,
"CAN","WATERABST","TOT","M3CAP","A","2005",1239.663,
"CAN","WATERABST","TOT","M3CAP","A","2007",1194.848,
"CAN","WATERABST","TOT","M3CAP","A","2009",932.6238,
"CAN","WATERABST","TOT","M3CAP","A","2011",965.1659,
"CAN","WATERABST","TOT","M3CAP","A","2013",1016.871,
"CZE","WATERABST","TOT","MLN_M3","A","1970",2904,
"CZE","WATERABST","TOT","MLN_M3","A","1980",3621.80005,
"CZE","WATERABST","TOT","MLN_M3","A","1985",3679.40002,
"CZE","WATERABST","TOT","MLN_M3","A","1990",3623.09998,
"CZE","WATERABST","TOT","MLN_M3","A","1992",3176.70673,
"CZE","WATERABST","TOT","MLN_M3","A","1993",3011.76001,
"CZE","WATERABST","TOT","MLN_M3","A","1994",2810.97998,
"CZE","WATERABST","TOT","MLN_M3","A","1995",2743.20001,
"CZE","WATERABST","TOT","MLN_M3","A","1996",2569.70001,"B"
"CZE","WATERABST","TOT","MLN_M3","A","1997",2492.5,
"CZE","WATERABST","TOT","MLN_M3","A","1998",2276.79999,
"CZE","WATERABST","TOT","MLN_M3","A","1999",1975.79999,
"CZE","WATERABST","TOT","MLN_M3","A","2000",1917.99994,
"CZE","WATERABST","TOT","MLN_M3","A","2001",1838.70007,
"CZE","WATERABST","TOT","MLN_M3","A","2002",1908.19995,
"CZE","WATERABST","TOT","MLN_M3","A","2003",2116.09,
"CZE","WATERABST","TOT","MLN_M3","A","2004",2027.99997,
"CZE","WATERABST","TOT","MLN_M3","A","2005",1949,
"CZE","WATERABST","TOT","MLN_M3","A","2006",1936,
