Rank,Country,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index
1,Denmark,199.95,118.75,77.29,79.85,82.65,7.09,30.17,22.48,81.87
2,Finland,197.32,120.00,77.36,74.97,72.73,7.40,32.92,12.19,59.73
3,Switzerland,193.97,130.09,77.92,72.24,119.98,10.60,29.37,22.90,79.90
4,Austria,191.99,103.83,78.50,79.20,72.31,9.75,27.53,23.06,76.95
5,Netherlands,190.22,108.26,71.78,79.13,75.93,7.31,31.94,28.10,86.95
6,Germany,189.13,123.27,63.84,74.88,67.89,8.48,30.99,28.15,82.42
7,Iceland,181.84,93.21,76.36,63.91,112.64,6.63,27.37,15.55,68.26
8,Norway,181.60,109.53,61.56,75.03,104.11,8.20,29.47,20.11,71.28
9,Sweden,181.38,120.86,50.12,68.97,70.39,9.59,30.98,18.48,74.46
10,Estonia,180.68,77.37,79.67,72.47,51.61,9.15,29.65,18.05,66.24
11,Slovenia,175.72,81.33,75.56,63.57,52.93,9.45,28.64,25.49,78.08
12,Spain,174.45,90.44,63.23,77.87,55.43,8.61,31.90,38.59,93.98
13,United Kingdom,174.25,112.86,58.40,74.12,67.18,8.89,35.57,38.45,87.84
14,Portugal,164.78,60.02,66.21,69.54,50.64,11.61,30.41,31.31,97.85
15,Belgium,164.58,99.28,58.50,80.93,74.39,7.19,35.71,49.40,86.01
16,France,164.33,99.72,54.04,78.71,74.83,11.51,35.24,41.04,89.75
17,Croatia,162.33,62.19,73.06,62.56,50.05,11.33,30.68,33.10,88.91
18,Czech Republic,162.03,77.63,72.11,74.63,44.53,13.89,30.34,40.61,76.95
19,Ireland,161.29,95.40,56.05,48.19,77.08,8.09,35.73,30.41,89.29
20,Slovakia,155.38,66.46,69.97,62.85,45.41,9.97,30.91,41.33,78.57
21,Lithuania,153.38,60.64,63.10,67.27,46.95,11.91,29.00,32.01,69.34
22,Italy,149.08,86.80,54.82,67.05,69.68,9.63,36.47,53.80,92.48
23,Poland,147.53,75.17,64.52,62.48,38.69,10.04,32.80,52.15,75.85
24,Romania,141.02,63.83,71.53,54.24,36.70,9.89,35.56,54.36,76.81
25,Belarus,138.72,44.27,73.82,56.19,32.03,14.94,29.09,40.69,64.33
26,Greece,137.46,53.18,61.17,55.49,57.64,9.68,33.63,52.40,91.80
27,Hungary,134.55,56.73,64.11,47.83,41.34,13.04,35.32,46.33,79.19
28,Bulgaria,131.20,57.21,59.72,53.87,37.83,8.76,30.45,64.23,82.51
29,Bosnia And Herzegovina,126.04,52.07,55.30,54.58,36.04,12.05,27.07,62.87,80.46
30,Serbia,122.57,43.05,61.65,54.18,36.13,18.13,29.09,57.92,83.26
31,Macedonia,108.89,41.61,60.06,59.10,31.49,13.77,31.24,81.49,76.30
32,Russia,107.34,52.15,56.37,57.29,36.73,11.44,46.96,63.37,48.67
33,Ukraine,100.41,34.32,50.00,50.30,27.08,15.29,39.58,66.18,70.41
